Dates,DXY
1/30/81,95.24
2/27/81,97.06
3/31/81,96.76
4/30/81,100.45
5/29/81,104.95
6/30/81,107.71
7/31/81,111.72
8/31/81,110.28
9/30/81,107.73
10/30/81,106.13
11/30/81,103.18
12/31/81,104.69
1/29/82,108.03
2/26/82,111.93
3/31/82,114.73
4/30/82,111.6
5/31/82,112.79
6/30/82,119.04
7/30/82,119.05
8/31/82,120.29
9/30/82,122.2
10/29/82,124.78
11/30/82,121
12/31/82,117.36
1/31/83,121.12
2/28/83,120.35
3/31/83,122.21
4/29/83,122.39
5/31/83,123.79
6/30/83,124.94
7/29/83,128.44
8/31/83,130.84
9/30/83,128.35
10/31/83,128.4
11/30/83,130.64
12/30/83,131.79
1/31/84,135.51
2/29/84,128.25
3/30/84,128.22
4/30/84,132.64
5/31/84,133.69
6/29/84,136.26
7/31/84,141.29
8/31/84,140.33
9/28/84,147.55
10/31/84,146.39
11/30/84,149.21
12/31/84,151.47
1/31/85,152.72
2/28/85,160.41
3/29/85,149.18
4/30/85,149.7
5/31/85,147.86
6/28/85,146.12
7/31/85,137.26
8/30/85,138.2
9/30/85,132.12
10/31/85,129.39
11/29/85,124.99
12/31/85,123.46
1/31/86,121.52
2/28/86,115.08
3/31/86,117.92
4/30/86,112.14
5/30/86,117.64
6/30/86,111.31
7/31/86,108.03
8/29/86,106.39
9/30/86,106.76
10/31/86,109.2
11/28/86,105.91
12/31/86,103.59
1/30/87,99.85
2/27/87,99.22
3/31/87,97.5
4/30/87,96.09
5/29/87,97.65
6/30/87,98.25
7/31/87,99.79
8/31/87,97.41
9/30/87,98.58
10/30/87,93.7
11/30/87,89.32
12/31/87,85.4
1/29/88,90.33
2/29/88,90.49
3/31/88,88.37
4/29/88,89.14
5/31/88,91.11
6/30/88,95.4
7/29/88,97.54
8/31/88,98.44
9/30/88,97.7
10/31/88,93.67
11/30/88,90.5
12/30/88,92.53
1/31/89,96.75
2/28/89,94.91
3/31/89,98.22
4/28/89,97.72
5/31/89,102.91
6/30/89,102.14
7/31/89,97.5
8/31/89,102.19
9/29/89,98.41
10/31/89,98.13
11/30/89,96.32
12/29/89,93.16
1/31/90,92.55
2/28/90,93.39
3/30/90,93.77
4/30/90,93.08
5/31/90,92.93
6/29/90,91.15
7/31/90,87.2
8/31/90,86.58
9/28/90,85.91
10/31/90,83.27
11/30/90,82.94
12/31/90,83.12
1/31/91,82
2/28/91,84.07
3/29/91,92.01
4/30/91,91.54
5/31/91,93.15
6/28/91,96.03
7/31/91,93.49
8/30/91,93.49
9/30/91,89.9
10/31/91,89.94
11/29/91,88.19
12/31/91,83.53
1/31/92,87.49
2/28/92,88.99
3/31/92,89.65
4/30/92,89.62
5/29/92,87.22
6/30/92,83.72
7/31/92,81.91
8/31/92,78.88
9/30/92,81.1
10/30/92,87.63
11/30/92,90.83
12/31/92,92.36
1/29/93,92.46
2/26/93,94.01
3/31/93,91.87
4/30/93,89.5
5/31/93,89.08
6/30/93,93.61
7/30/93,95.37
8/31/93,93.95
9/30/93,92.82
10/29/93,95.08
11/30/93,96.21
12/31/93,96.84
1/31/94,95.59
2/28/94,94.55
3/31/94,93.06
4/29/94,92.12
5/31/94,92.52
6/30/94,89.62
7/29/94,89.87
8/31/94,89.67
9/30/94,87.88
10/31/94,85.69
11/30/94,89.13
12/30/94,88.72
1/31/95,87.99
2/28/95,85.93
3/31/95,81.9
4/28/95,81.8
5/31/95,82.57
6/30/95,81.58
7/31/95,81.57
8/31/95,85.57
9/29/95,84.29
10/31/95,83.66
11/30/95,85.26
12/29/95,84.76
1/31/96,87.38
2/29/96,86.31
3/29/96,86.52
4/30/96,88.02
5/31/96,87.78
6/28/96,87.82
7/31/96,85.9
8/30/96,86.36
9/30/96,87.94
10/31/96,87.43
11/29/96,87.92
12/31/96,88.12
1/31/97,93.04
2/28/97,94.89
3/31/97,94.72
4/30/97,97.18
5/30/97,94.85
6/30/97,95.67
7/31/97,99.55
8/29/97,99
9/30/97,97.11
10/31/97,95.64
11/28/97,97.77
12/31/97,99.65
1/30/98,100.72
2/27/98,99.83
3/31/98,101.5
4/30/98,99.71
5/29/98,100.48
6/30/98,101.17
7/31/98,101.14
8/31/98,100.2
9/30/98,96.17
10/30/98,93.68
11/30/98,96.2
12/31/98,94.17
1/29/99,96.08
2/26/99,98.71
3/31/99,100.1
4/30/99,101
5/31/99,102.28
6/30/99,102.85
7/30/99,99.75
8/31/99,99.95
9/30/99,98.54
10/29/99,99.06
11/30/99,101.99
12/31/99,101.87
1/31/00,105.13
2/29/00,105.92
3/31/00,105.44
4/28/00,110.14
5/31/00,108.74
6/30/00,106.84
7/31/00,109.61
8/31/00,112.6
9/29/00,113.25
10/31/00,116.65
11/30/00,115.24
12/29/00,109.56
1/31/01,110.52
2/28/01,112.01
3/30/01,117.37
4/30/01,115.76
5/31/01,119.07
6/29/01,119.47
7/31/01,117.18
8/31/01,113.42
9/28/01,113.41
10/31/01,114.86
11/30/01,116.13
12/31/01,116.75
1/31/02,120.21
2/28/02,119.16
3/29/02,118.62
4/30/02,115.19
5/31/02,111.81
6/28/02,106.11
7/31/02,107.41
8/30/02,106.98
9/30/02,106.87
10/31/02,106.64
11/29/02,106.38
12/31/02,101.85
1/31/03,99.91
2/28/03,99.71
3/31/03,98.88
4/30/03,97.19
5/30/03,93.29
6/30/03,94.73
7/31/03,96.89
8/29/03,98.1
9/30/03,92.85
10/31/03,92.73
11/28/03,90.23
12/31/03,86.92
1/30/04,87.2
2/27/04,87.31
3/31/04,87.61
4/30/04,90.48
5/31/04,88.9
6/30/04,88.8
7/30/04,89.96
8/31/04,88.94
9/30/04,87.37
10/29/04,84.91
11/30/04,81.82
12/31/04,80.85
1/31/05,83.57
2/28/05,82.51
3/31/05,84.06
4/29/05,84.43
5/31/05,87.76
6/30/05,89.09
7/29/05,89.35
8/31/05,87.58
9/30/05,89.52
10/31/05,90.07
11/30/05,91.57
12/30/05,91.17
1/31/06,88.96
2/28/06,90.11
3/31/06,89.73
4/28/06,86.11
5/31/06,84.72
6/30/06,85.16
7/31/06,85.3
8/31/06,85.05
9/29/06,86.03
10/31/06,85.32
11/30/06,82.95
12/29/06,83.65
1/31/07,84.6
2/28/07,83.57
3/30/07,82.93
4/30/07,81.447
5/31/07,82.301
6/29/07,81.92
7/31/07,80.77
8/31/07,80.791
9/28/07,77.719
10/31/07,76.479
11/30/07,76.147
12/31/07,76.695
1/31/08,75.178
2/29/08,73.714
3/31/08,71.802
4/30/08,72.509
5/30/08,72.879
6/30/08,72.463
7/31/08,73.227
8/29/08,77.381
9/30/08,79.448
10/31/08,85.633
11/28/08,86.517
12/31/08,81.308
1/30/09,85.999
2/27/09,88.008
3/31/09,85.43
4/30/09,84.614
5/29/09,79.348
6/30/09,80.133
7/31/09,78.347
8/31/09,78.172
9/30/09,76.653
10/30/09,76.3
11/30/09,74.879
12/31/09,77.86
1/29/10,79.462
2/26/10,80.362
3/31/10,81.073
4/30/10,81.866
5/31/10,86.588
6/30/10,86.019
7/30/10,81.539
8/31/10,83.202
9/30/10,78.72
10/29/10,77.266
11/30/10,81.195
12/31/10,79.028
1/31/11,77.735
2/28/11,76.889
3/31/11,75.857
4/29/11,72.933
5/31/11,74.638
6/30/11,74.303
7/29/11,73.897
8/31/11,74.117
9/30/11,78.553
10/31/11,76.166
11/30/11,78.384
12/30/11,80.178
1/31/12,79.288
2/29/12,78.737
3/30/12,79.004
4/30/12,78.776
5/31/12,83.043
6/29/12,81.627
7/31/12,82.635
8/31/12,81.208
9/28/12,79.935
10/31/12,79.919
11/30/12,80.153
12/31/12,79.769
1/31/13,79.207
2/28/13,81.949
3/29/13,82.976
4/30/13,81.746
5/31/13,83.375
6/28/13,83.136
7/31/13,81.452
8/30/13,82.087
9/30/13,80.221
10/31/13,80.195
11/29/13,80.68
12/31/13,80.035
1/31/14,81.311
2/28/14,79.691
3/31/14,80.1
4/30/14,79.474
5/30/14,80.369
6/30/14,79.775
7/31/14,81.456
8/29/14,82.748
9/30/14,85.936
10/31/14,86.917
11/28/14,88.356
12/31/14,90.269
1/30/15,94.804
2/27/15,95.293
3/31/15,98.357
4/30/15,94.6
5/29/15,96.907
6/30/15,95.485
7/31/15,97.336
8/31/15,95.824
9/30/15,96.35
10/30/15,96.946
11/30/15,100.17
12/31/15,98.631
1/29/16,99.606
2/29/16,98.211
3/31/16,94.586
4/29/16,93.082
5/31/16,95.891
6/30/16,96.143
7/29/16,95.53
8/31/16,96.022
9/30/16,95.463
10/31/16,98.445
11/30/16,101.5
12/30/16,102.21
1/31/17,99.512
2/28/17,101.12
3/31/17,100.35
4/28/17,99.05
5/31/17,96.922
6/30/17,95.628
7/31/17,92.863
8/31/17,92.668
9/29/17,93.076
10/31/17,94.552
11/30/17,93.047
12/29/17,92.124
1/31/18,89.133
2/28/18,90.613
3/30/18,89.974
4/30/18,91.841
5/31/18,93.979
6/29/18,94.47
7/31/18,94.554
8/31/18,95.14
9/28/18,95.132
10/31/18,97.127
11/30/18,97.272
12/31/18,96.173
1/31/19,95.578
2/28/19,96.157
3/29/19,97.284
4/30/19,97.479
5/31/19,97.75
6/28/19,96.13
7/31/19,98.516
8/30/19,98.916
9/30/19,99.377
10/31/19,97.352
11/29/19,98.273
12/31/19,96.389
1/31/20,97.39
2/28/20,98.132
3/31/20,99.048
4/30/20,99.016
5/29/20,98.344
6/30/20,97.391
7/31/20,93.349
8/31/20,92.144
9/30/20,93.886
10/30/20,94.038
11/30/20,91.869
12/31/20,89.937
1/29/21,90.584
2/26/21,90.879
3/31/21,93.232
4/30/21,91.28
5/31/21,89.829
6/30/21,92.436
7/30/21,92.174
8/31/21,92.626
9/30/21,94.23
10/29/21,94.123
11/30/21,95.994
12/31/21,95.67
1/31/22,96.54
2/28/22,96.707
3/31/22,98.312
4/29/22,102.959
