,SPGSCI
8/29/80,265.92
9/30/80,284.71
10/31/80,291.03
11/28/80,293.99
12/31/80,268.69
1/30/81,252.19
2/27/81,245.21
3/31/81,249.03
4/30/81,244.83
5/29/81,243.65
6/30/81,227.64
7/31/81,230.58
8/31/81,223.07
9/30/81,222.98
10/30/81,221.34
11/30/81,215.42
12/31/81,201.65
1/29/82,213.57
2/26/82,208.82
3/31/82,215.75
4/30/82,223.28
5/31/82,217.65
6/30/82,209.55
7/30/82,207.14
8/31/82,207.22
9/30/82,199.4
10/29/82,197.21
11/30/82,205.05
12/31/82,201.46
1/31/83,199.05
2/28/83,195.05
3/31/83,207.59
4/29/83,209.18
5/31/83,206.91
6/30/83,207.43
7/29/83,209.76
8/31/83,214.17
9/30/83,208.97
10/31/83,205.96
11/30/83,207.91
12/30/83,216.14
1/31/84,211.53
2/29/84,207.32
3/30/84,217.18
4/30/84,210.72
5/31/84,214.5
6/29/84,208
7/31/84,190.95
8/31/84,198.64
9/28/84,199.16
10/31/84,199.33
11/30/84,200.6
12/31/84,195.53
1/31/85,193.78
2/28/85,188.23
3/29/85,197.96
4/30/85,187.42
5/31/85,187.62
6/28/85,180.05
7/31/85,173.58
8/30/85,176.51
9/30/85,188.55
10/31/85,201.02
11/29/85,201.56
12/31/85,196.04
1/31/86,173.94
2/28/86,162.92
3/31/86,160.04
4/30/86,163.5
5/30/86,154.1
6/30/86,152.45
7/31/86,150.35
8/29/86,163.95
9/30/86,158.25
10/31/86,160.24
11/28/86,160.77
12/31/86,159.27
1/30/87,165.55
2/27/87,154.38
3/31/87,164.63
4/30/87,170.18
5/29/87,172.38
6/30/87,175.77
7/31/87,177.81
8/31/87,173.81
9/30/87,173.61
10/30/87,174.25
11/30/87,171.64
12/31/87,164.33
1/29/88,166.63
2/29/88,163.79
3/31/88,171.2
4/29/88,175.01
5/31/88,177.99
6/30/88,171.27
7/29/88,169.45
8/31/88,167.56
9/30/88,162.18
10/31/88,166.99
11/30/88,174.01
12/30/88,184.41
1/31/89,181.64
2/28/89,186.39
3/31/89,197.62
4/28/89,197.61
5/31/89,188.54
6/30/89,189.27
7/31/89,179.55
8/31/89,183.95
9/29/89,193.22
10/31/89,189.81
11/30/89,192.05
12/29/89,207.25
1/31/90,198.83
2/28/90,195.94
3/30/90,198.61
4/30/90,193.94
5/31/90,189.81
6/29/90,184.18
7/31/90,196.8
8/31/90,225.45
9/28/90,270.19
10/31/90,249.37
11/30/90,227.61
12/31/90,219.97
1/31/91,194.4476
2/28/91,191.2345
3/29/91,194.1259
4/30/91,195.998
5/31/91,192.89
6/28/91,185.4473
7/31/91,191.8876
8/30/91,192.6421
9/30/91,193.9276
10/31/91,198.5509
11/29/91,190.1044
12/31/91,176.9177
1/31/92,182.3528
2/28/92,181.7778
3/31/92,184.7368
4/30/92,190.1203
5/29/92,193.0193
6/30/92,190.8873
7/31/92,186.6917
8/31/92,186.3997
9/30/92,187.0465
10/30/92,182.4082
11/30/92,180.0958
12/31/92,181.0064
1/29/93,183.3482
2/26/93,186.5014
3/31/93,190.171
4/30/93,187.6663
5/31/93,181.2161
6/30/93,175.9696
7/30/93,174.0556
8/31/93,175.8414
9/30/93,177.357
10/29/93,171.4164
11/30/93,165.0651
12/31/93,163.5542
1/31/94,177.3524
2/28/94,171.232
3/31/94,170.3859
4/29/94,174.5563
5/31/94,176.7601
6/30/94,180.0834
7/29/94,182.5207
8/31/94,170.2628
9/30/94,171.4158
10/31/94,179.036
11/30/94,175.1664
12/30/94,180.7578
1/31/95,176.0039
2/28/95,177.1083
3/31/95,179.0597
4/28/95,183.6347
5/31/95,180.8068
6/30/95,174.4889
7/31/95,177.3371
8/31/95,180.5308
9/29/95,181.0815
10/31/95,183.1156
11/30/95,187.9269
12/29/95,203.4971
1/31/96,196.8141
2/29/96,197.696
3/29/96,206.664
4/30/96,209.3274
5/31/96,203.8712
6/28/96,206.5216
7/31/96,194.652
8/30/96,198.515
9/30/96,205.2159
10/31/96,204.9208
11/29/96,218.9817
12/31/96,215.2563
1/31/97,204.9099
2/28/97,188.8185
3/31/97,192.4289
4/30/97,196.7678
5/30/97,197.3687
6/30/97,185.1689
7/31/97,192.2873
8/29/97,195.7684
9/30/97,201.7335
10/31/97,208.1534
11/28/97,188.6889
12/31/97,175.623
1/30/98,174.2636
2/27/98,165.0984
3/31/98,166.715
4/30/98,163.8963
5/29/98,158.2691
6/30/98,155.1993
7/31/98,143.6022
8/31/98,136.9596
9/30/98,153.7656
10/30/98,148.4851
11/30/98,133.4806
12/31/98,133.019
1/29/99,135.2692
2/26/99,130.8113
3/31/99,153.9354
4/30/99,160.9771
5/31/99,152.2197
6/30/99,163.362
7/30/99,169.1718
8/31/99,181.6245
9/30/99,191.063
10/29/99,181.3902
11/30/99,189.6623
12/31/99,194.5372
1/31/00,206.3651
2/29/00,216.0089
3/31/00,206.8815
4/28/00,203.2085
5/31/00,223.2031
6/30/00,235.7137
7/31/00,213.3268
8/31/00,244.3988
9/29/00,237.4833
10/31/00,236.7139
11/30/00,256.384
12/29/00,246.9237
1/31/01,226.9736
2/28/01,221.9866
3/30/01,212.7381
4/30/01,224.2305
5/31/01,217.6236
6/29/01,202.6644
7/31/01,201.72
8/31/01,203.0028
9/28/01,181.7182
10/31/01,175.3805
11/30/01,169.575
12/31/01,169.1572
1/31/02,166.0257
2/28/02,176.5311
3/29/02,201.2279
4/30/02,204.2329
5/31/02,194.2879
6/28/02,202.7765
7/31/02,203.4048
8/30/02,215.2304
9/30/02,227.5257
10/31/02,217.423
11/29/02,217.5085
12/31/02,235.1541
1/31/03,253.4514
2/28/03,278.572
3/31/03,232.2788
4/30/03,215.6376
5/30/03,235.2415
6/30/03,233.2028
7/31/03,233.1563
8/29/03,242.459
9/30/03,232.6344
10/31/03,238.4895
11/28/03,245.8032
12/31/03,260.5434
1/30/04,260.088
