,return forecast,in sample performance
2007-08-01,0.00017037441388710703,-0.2390668119545754
2007-09-01,0.0002179982408889248,0.009375271596962345
2007-10-01,-0.00010681378621861672,0.04562171670033066
2007-11-01,5.194401479986063e-06,-0.19592260846471649
2007-12-01,0.0005182553351417347,-0.6349516772129629
2008-01-01,-0.00023888978143097006,-1.5804235897994188
2008-02-01,-0.0012226869264052476,-0.3091160851156177
2008-03-01,-0.0012003872190661789,-0.2744023300649475
2008-04-01,-0.0003805735973949814,-0.06240980136004247
2008-05-01,-0.0004989402499425595,-0.48536770138879914
2008-06-01,-0.0008031982198158884,-0.8256255538950887
2008-07-01,-0.0009084905436049114,-1.6863449680696232
2008-08-01,-0.0007305185052214569,-0.1396120045463633
2008-09-01,-0.0003600388338252551,-0.1021568824459811
2008-10-01,-0.003569386680379806,-0.10076066863754747
2008-11-01,-0.002694429405405628,-0.5658621162809587
2008-12-01,-0.0022453767185374217,-0.6504822107320054
2009-01-01,-0.002786449022328194,-1.6472770404844708
2009-02-01,-0.003088124488073017,-0.2960325771873221
2009-03-01,-0.002462401090545195,-0.1778155199288704
2009-04-01,-0.0010158771696939142,-0.1748138997455448
2009-05-01,0.00030567624172739695,-0.574275986416235
2009-06-01,0.0007008089681462585,-0.6874793339669055
2009-07-01,0.0015165898352504272,-0.9972118625346053
2009-08-01,0.0020031016805426116,-1.7777433020028608
2009-09-01,0.001484295129758915,-0.6108134116167907
2009-10-01,0.0009860334373374376,-0.21820180489203092
2009-11-01,0.0013583166308815226,-0.38152962493159287
2009-12-01,0.000963137417271987,-0.5837548175076089
2010-01-01,0.0012664529019312978,-1.257289383692779
2010-02-01,0.0001224641812831027,-1.814014079028244
2010-03-01,6.758782787231497e-05,-0.7342398770123781
2010-04-01,0.0015493784405532613,-0.24624572589330518
2010-05-01,0.0011043319109858357,-0.4919578540648576
2010-06-01,0.00020980057610257627,-0.5632650056047005
2010-07-01,4.907057204877247e-05,-1.1941255539081175
2010-08-01,6.914169809558985e-05,-1.765837853525302
2010-09-01,0.00027467768646137963,-0.6916438678837602
2010-10-01,-0.0005994715404225421,-0.23568541882626426
2010-11-01,-0.0009458471322263818,-0.4120590712265396
2010-12-01,0.0003213901502943677,-0.43712044632585545
2011-01-01,0.0009217607934642782,-0.3714096974307939
2011-02-01,0.0014739686952413068,-2.4846196708128607
2011-03-01,0.0007337440300368196,-1.3358675345085365
2011-04-01,0.000338768652788469,-0.5905403214287578
2011-05-01,-0.0001646949958999807,-0.7254363522548376
2011-06-01,0.00039185753785116493,-0.44075128132955543
2011-07-01,0.00013221287896598419,-0.39372855915545935
2011-08-01,-0.0003228911780452867,-2.692060433151176
2011-09-01,-0.0004640791916528248,-1.428482722740653
2011-10-01,0.0006903173562976624,-0.6335706432719277
2011-11-01,4.554759287942304e-05,-0.6845816366955553
2011-12-01,0.00027573843148658397,-0.5471918710311132
2012-01-01,0.0010752786706400377,-0.3583015438459341
2012-02-01,0.0008167506754863174,-2.560880115648338
2012-03-01,0.0008843405241496388,-1.483741594880994
2012-04-01,3.791206447720367e-05,-0.585593006942482
2012-05-01,0.0006056720211168967,-0.549372866338499
2012-06-01,4.9185866902943234e-05,-0.49835354707609525
2012-07-01,0.00033260848966418254,-0.3323028313385655
2012-08-01,0.0002682184718947675,-2.414137044842696
2012-09-01,0.0009508552327475471,-1.480019784140644
2012-10-01,0.00033447054657629406,-0.5993272048858492
2012-11-01,0.0006031760933630022,-0.46672383469901324
2012-12-01,0.0005148192395036761,-0.6185704341532325
2013-01-01,0.0006624301923509186,-0.24795471836250865
2013-02-01,0.00022574993472935674,-2.1023232600535318
2013-03-01,0.0006258768428475024,-1.2089569178638448
2013-04-01,0.0012382579687600082,-0.6420028420643303
2013-05-01,0.0010914949388119936,-0.6399592401467081
2013-06-01,0.0008044587309859485,-0.6588969704068035
2013-07-01,0.0007055388471936044,-0.4298436423398876
2013-08-01,-0.0006970819766431113,-1.6196696584444248
2013-09-01,0.000519242250923038,-1.076292415681842
2013-10-01,0.0010516756637139405,-0.4376269585179975
2013-11-01,0.0007493742198898129,-0.39857847861105533
2013-12-01,0.001411152398128001,-0.45065349359115225
2014-01-01,0.0005483814934994665,-0.2309959412023283
2014-02-01,0.0013591133829367694,-0.6942813441243594
2014-03-01,0.0006785030640700096,-0.5054033418283854
2014-04-01,0.0004935542727455428,-0.4742418446242363
2014-05-01,0.0005371432281879279,-0.41094507751928283
2014-06-01,0.00035925210533346006,-0.3786277328749839
2014-07-01,0.0003082283448450161,-0.2213637108233186
2014-08-01,0.0015240458625200902,-0.6906015076237945
2014-09-01,0.00037605120376921154,-0.5508172890511299
2014-10-01,0.0005463484480640631,-0.36157893321651147
2014-11-01,0.001162532222463128,-0.3339569965123974
2014-12-01,0.0013769734000385824,-0.43743740332974584
2015-01-01,0.0010738059968874755,-0.35270028896394673
2015-02-01,0.0006917562813431496,-0.38454892047746747
2015-03-01,0.00036563214798702163,-0.49404615253006817
2015-04-01,0.00033873251056464596,-0.46274413875598197
2015-05-01,0.001140947817273865,-0.27654636144102324
2015-06-01,0.00045738022289428014,-0.4419870338050248
2015-07-01,0.0004980912580698002,-0.22719694862621756
2015-08-01,0.0004929697750416324,-0.4758083427773394
2015-09-01,-0.0003934696666959394,-0.40924476851126057
2015-10-01,0.0005700688415991262,-0.20867267700536915
2015-11-01,0.00018192016339793317,-0.22882146437179834
2015-12-01,0.0009715200875760266,-0.308958378526933
