,return forecast,in sample performance
2007-08-01,-0.0006797405898049877,-1.6917526512798324
2007-09-01,0.0007057852296081107,-0.14353427701685853
2007-10-01,0.0007057852296081107,-0.0830409611971378
2007-11-01,0.0007057852296081107,-0.1296103833946824
2007-12-01,0.001042354307996679,-0.9904065240419335
2008-01-01,0.0004875282375862572,-1.2233961771260784
2008-02-01,0.0004875282375862572,-1.3099379373741353
2008-03-01,0.0004875282375862572,-1.3738996923698092
2008-04-01,-0.00020866099068717753,-0.1782650970798714
2008-05-01,-0.0003293771810124052,-0.16330676375682573
2008-06-01,-0.0008878470083796761,-0.2905407785403768
2008-07-01,-0.0008878470083796761,-0.6216598224310433
2008-08-01,-0.0008878470083796761,-0.09069656786643723
2008-09-01,-0.0008878470083796761,-0.1964972680134112
2008-10-01,-0.0022585625474424234,-0.19633628542544124
2008-11-01,-0.0022585625474424234,-0.31118312470664367
2008-12-01,-0.0022585625474424234,-0.39418708495682075
2009-01-01,-0.0022585625474424234,-0.8887818897111709
2009-02-01,-0.0022585625474424234,-0.2563348883913916
2009-03-01,-0.0013856093938222624,-0.2184321675137802
2009-04-01,-0.0009755427933704972,-0.23958426394677998
2009-05-01,-0.0009755427933704972,-0.3983186597495535
2009-06-01,-0.0009755427933704972,-0.437567907710403
2009-07-01,-0.0009755427933704972,-0.8750922024575871
2009-08-01,-0.0009755427933704972,-1.636822241902526
2009-09-01,-0.0009755427933704972,-1.0482100634633145
2009-10-01,-0.0009755427933704972,-0.5387614760511709
2009-11-01,-0.0009755427933704972,-0.7489983371783422
2009-12-01,-0.0009755427933704972,-0.8795259302672126
2010-01-01,-0.0009755427933704972,-1.1439145204924772
2010-02-01,-0.0009755427933704972,-1.7831805060972463
2010-03-01,-0.0009755427933704972,-1.1981137439189908
2010-04-01,-0.0009755427933704972,-0.7390559383713973
2010-05-01,-0.0009755427933704972,-0.7678716297744453
2010-06-01,-0.0009755427933704972,-0.8810116576264357
2010-07-01,-0.0009755427933704972,-1.1406565402037145
2010-08-01,-0.0009755427933704972,-1.77810705217507
2010-09-01,-0.0009755427933704972,-1.207506668628731
2010-10-01,-0.0009755427933704972,-0.7560163276034402
2010-11-01,-0.0009755427933704972,-0.7357318639994266
2010-12-01,-0.0009755427933704972,-0.8152842358170556
2011-01-01,-0.0009755427933704972,-0.5582687313765461
2011-02-01,-0.0009755427933704972,-2.4132125497325383
2011-03-01,-0.0009755427933704972,-1.796249577908125
2011-04-01,-0.0009755427933704972,-1.314068493257238
2011-05-01,-0.0009755427933704972,-1.1013632949011871
2011-06-01,-0.0009755427933704972,-1.0955507813363548
2011-07-01,-0.0009755427933704972,-0.7025955910568761
2011-08-01,-0.0009755427933704972,-2.4307372577390542
2011-09-01,-0.0009755427933704972,-1.768931888027682
2011-10-01,-0.00086413119540827,-1.3198093980656982
2011-11-01,-0.00086413119540827,-1.0795838884909426
2011-12-01,-0.00086413119540827,-1.0839945267944255
2012-01-01,-0.00086413119540827,-0.7210604319657572
2012-02-01,-0.00086413119540827,-2.4803411627010794
2012-03-01,-0.00086413119540827,-2.0212716348040214
2012-04-01,-0.00086413119540827,-1.7234480129111795
2012-05-01,-0.00086413119540827,-1.1529220696009772
2012-06-01,-0.00086413119540827,-1.1560156359690308
2012-07-01,-0.00086413119540827,-0.8050575899992868
2012-08-01,-0.00086413119540827,-2.553162391306059
2012-09-01,-0.00086413119540827,-2.090947667323298
2012-10-01,-0.00086413119540827,-1.7233153153730179
2012-11-01,-0.00086413119540827,-1.4175179557455708
2012-12-01,-0.00086413119540827,-1.5947601952103285
2013-01-01,-0.00086413119540827,-1.089334563418414
2013-02-01,-0.00086413119540827,-2.6966585945775323
2013-03-01,-0.00086413119540827,-2.383918608276397
2013-04-01,-0.00086413119540827,-2.66488323137541
2013-05-01,-0.00086413119540827,-2.646774453601081
2013-06-01,-0.00086413119540827,-2.013676261762841
2013-07-01,-0.00086413119540827,-1.4154220083957099
2013-08-01,-0.00086413119540827,-1.478211236302257
2013-09-01,-0.00086413119540827,-1.7015493213651078
2013-10-01,-0.00031690483299092603,-1.2951591697324072
2013-11-01,-0.00031690483299092603,-1.270951513217749
2013-12-01,-0.00031690483299092603,-0.8993081003133958
2014-01-01,-0.00031690483299092603,-0.6294069641762672
2014-02-01,0.0005146424303651073,-0.3669553410284086
2014-03-01,0.0005146424303651073,-0.3810139960987981
2014-04-01,0.0005146424303651073,-0.31579940913341786
2014-05-01,0.0005146424303651073,-0.3156200172048925
2014-06-01,0.0005146424303651073,-0.22804827364629035
2014-07-01,0.0005146424303651073,-0.15040151590883075
2014-08-01,0.0005146424303651073,-0.4987212504901174
2014-09-01,0.0005146424303651073,-0.441871451794587
2014-10-01,0.0005146424303651073,-0.31370564643516485
2014-11-01,0.0005146424303651073,-0.2928762917604592
2014-12-01,0.0005146424303651073,-0.11186995431230917
2015-01-01,0.0005146424303651073,-0.06193436584998513
2015-02-01,0.0005146424303651073,-0.0985498986335559
2015-03-01,0.0005146424303651073,-0.26545961846059213
2015-04-01,0.0005146424303651073,-0.14712684562759426
2015-05-01,0.0009042979779353838,-0.10471762289901565
2015-06-01,0.0009042979779353838,-0.1374787587371094
2015-07-01,0.0009042979779353838,-0.0600432068690267
2015-08-01,0.0009042979779353838,-0.16473648846065844
2015-09-01,0.0009042979779353838,-0.3796666513120488
2015-10-01,0.0009042979779353838,-0.08537033385898127
2015-11-01,0.0009042979779353838,-0.10177135322989511
2015-12-01,0.0009042979779353838,-0.13571485393995167
2016-01-01,0.0009042979779353838,-0.10929134301864013
2016-02-01,0.0009042979779353838,-0.19630292277112016
2016-03-01,0.0009042979779353838,-0.18499869286727155
2016-04-01,0.0009042979779353838,-0.11827068621147818
2016-05-01,0.0009042979779353838,-0.12319063902294358
2016-06-01,0.0009042979779353838,-0.15335426388152232
2016-07-01,0.0009042979779353838,-0.10455548036530668
2016-08-01,0.0009042979779353838,-0.18308855357652784
2016-09-01,0.001058741222680376,-0.3563322593078085
2016-10-01,0.0004296930980014768,-0.7266253104583915
2016-11-01,0.0004296930980014768,-0.9072663453058017
2016-12-01,0.0004296930980014768,-0.5171204356554147
2017-01-01,0.0004296930980014768,-0.49595077645775115
2017-02-01,0.0004296930980014768,-0.45865754727886887
2017-03-01,0.0004296930980014768,-0.30500445600240916
2017-04-01,0.0004296930980014768,-0.361476193195877
2017-05-01,0.0004296930980014768,-0.0945562324107361
2017-06-01,0.0004296930980014768,-0.07364325176152595
2017-07-01,0.0004296930980014768,-0.13901431202412737
2017-08-01,0.0004296930980014768,-0.18677467349184834
2017-09-01,0.0004296930980014768,-0.169358265208949
2017-10-01,0.0004296930980014768,-0.19911936410625386
2017-11-01,0.0004296930980014768,-0.18932117265083565
2017-12-01,0.0004296930980014768,-0.20116367297509102
2018-01-01,0.0004296930980014768,-0.24352836796893024
2018-02-01,0.0004296930980014768,-0.16532832223855046
2018-03-01,0.0004296930980014768,-0.15403017447886272
2018-04-01,0.0004296930980014768,-0.19659973561774954
2018-05-01,0.0004296930980014768,-0.18944161960642203
2018-06-01,0.0004296930980014768,-0.20316933749821026
2018-07-01,0.0004296930980014768,-0.2295190543219933
2018-08-01,0.0004296930980014768,-0.14805953986059325
2018-09-01,0.0004296930980014768,-0.20968670035149686
2018-10-01,0.0003818835487799585,-0.1878193013036191
2018-11-01,0.0003818835487799585,-0.17710104421498798
2018-12-01,-0.00048763469392410635,-0.22069605923613742
2019-01-01,-0.00048763469392410635,-0.24088373527925416
2019-02-01,-0.00048763469392410635,-0.17031556472122716
2019-03-01,-0.00048763469392410635,-0.23072199449862102
2019-04-01,-0.00048763469392410635,-0.19406442286222747
2019-05-01,-0.00048763469392410635,-0.18292705070097695
2019-06-01,-0.00048763469392410635,-0.3220467570277437
2019-07-01,-0.00048763469392410635,-0.3089472017496633
2019-08-01,-0.00048763469392410635,-0.11252234304942413
2019-09-01,-0.00048763469392410635,-0.1656461246496814
2019-10-01,-0.00048763469392410635,-0.20924600071438604
2019-11-01,-0.00048763469392410635,-0.40443983984165505
